date,Rt
01/02/2020,2.5
01/03/2020,2.5
01/04/2020,0.8
01/05/2020,0.8
01/06/2020,0.8
01/07/2020,1
01/08/2020,1.2
01/09/2020,1.3
01/10/2020,1.4
01/11/2020,1.4
01/12/2020,1.4
01/01/2021,1.2
01/02/2021,1.2
01/03/2021,1.2
01/04/2021,1.5
01/05/2021,2.5
01/06/2021,3.5
01/07/2021,4
01/08/2021,4
01/09/2021,4
01/10/2021,4
01/11/2021,4
