measure,om_red,k,hl_s,hl_l,period_s,period_l,ab50,ab50_s,ab50_d,d1_AZ,d2_AZ,d3_AZ,d1_PF,d2_PF,d3_PF,d1_MD,d2_MD,d3_MD
lower,3.9942447709992566,2.706169565724226,31.012387171349268,353.67675637665394,59.61641306789225,212.14069262831234,0.06638516751442458,0.012284165030119571,0.012477296718238386,0.07573673923738129,0.2929067770725782,0.4478424379704917,0.24222947384550797,0.545082195791903,0.7143682975403063,0.15778111942377027,0.7155221292486607,0.8581616090903326
median,5.114389837983685,3.1804021615713367,34.51428287017532,581.3760329248341,75.24835745857536,366.457174120638,0.09092243952375802,0.02105839765119326,0.02148358746775711,0.103687081651056,0.36152700186421255,0.5998871208771369,0.3019165671638451,0.6870218544819442,0.9218414287915357,0.20426635503080226,0.9259298081338102,1.1282241792886534
upper,6.8367402934205,3.744416160269861,38.30297164454803,872.2758163997105,88.45347162074276,524.6574937682255,0.12481646218169583,0.03493819033472184,0.03566897996343464,0.14228476393665324,0.44722811365472653,0.8175414960315232,0.377060692605538,0.8679869925658096,1.1924961996574546,0.26582192662114534,1.1963736287276618,1.4878415116959471
